No.,Code,Name,Price
1,FO18530,pasta,332
2,SE21646,seasoning,44
3,SE19450,seasoning,759
4,ME21923,bacon,885
5,SE21646,sardine,217
6,ME21640,veal cutlet,848
7,FO18257,cake mix,974
8,FI20530,fish,27
9,SE18555,cardamom,739
10,FI18301,flatfish,360
11,ME21428,corned beef,822
12,SE19216,whole pepper,605
13,FI22120,trout,808
14,FI20385,haddock,724
15,ME22344,lamb chop,41
16,SE19830,tarragon,432
17,ME21705,veal cutlet,212
18,FO18654,popcorn,812
19,ME19951,veal cutlet,748
20,SE21330,basil,400
21,SE21935,condiment,826
22,FO21237,vermicelli,960
23,ME22526,sausage,540
24,ME21924,mutton,923
25,SE22279,caraway,275
26,FI20219,fish steak,207
27,SE19273,nutmeg,862
28,FI18714,cod,344
29,FO19850,flour,166
30,SE20891,pepper,433
31,FI19893,tuna,974
32,SE18738,cinnamon,493
33,ME20905,ground beef,468
34,ME18505,pork chop,641
35,FI22769,fillet of sole,779
36,ME20110,beefsteak,683
37,FI18136,plaice,852
38,SE22331,seeds,825
39,FI22974,eel,610
40,ME20303,lamb,138
41,FO18329,wheat flakes,236
42,FO19941,bread,446
43,FI18543,salmon steak,974
44,FO21342,noodles,583
45,FI21595,caviar,271
46,FO22500,popcorn,605
47,FI21532,fish fillet,513
48,ME20334,lamb chop,943
49,FO22267,bread,627
50,SE19420,mint,835
51,FI21206,herring,179
52,ME21354,beefsteak,27
53,ME22223,spare rib,622
54,FO20102,spaghetti,86
55,FO18187,noodles,404
56,SE20375,tarragon,831
57,FI19483,tuna,158
58,FO20903,oat flakes,245
59,ME22975,lamb chop,719
60,FI18566,trout,8
61,SE18250,coriander,696
62,FI18310,haddock,253
63,SE22389,oregano,96
64,FO20301,wheat flakes,603
65,FO21427,garlic bread,448
66,ME22782,spare rib,98
67,FI20506,flatfish,792
68,SE19769,garlic,974
69,FO18102,oat flakes,847
70,ME22798,beefsteak,433
71,FO20318,whole-wheat bread,648
72,ME21944,pork,841
73,ME20299,meat,700
74,SE21853,seeds,796
75,FO19401,ravioli,439
76,ME21640,hamburger,507
77,ME20374,ground beef,732
78,SE20166,hot pepper,405
79,ME19437,lamb chop,763
80,ME21777,beefsteak,262
81,FO22400,cereal,496
82,SE21646,condiment,715
83,ME21727,roast beef,704
84,FI21438,,810
85,FO18687,cereal,358
86,FI19306,roach,491
87,SE18161,marjoram,225
88,FI22779,sea bass,121
89,FI21130,plaice,134
90,FI18501,perch,632
91,SE20974,pepper,493
92,ME21640,bread,801
93,FO18227,garlic bread,965
94,FI20781,roach,419
95,ME19750,beefsteak,101
96,FI18876,golden fish,499
97,FI21563,sardine,337
98,ME21640,seasoning,685
99,SE21801,salt,170
100,ME21586,bacon,177
